project,median monthly loc added or changed,median monthly contributors,median monthly commits,median monthly loc growth,median monthly % log growth,median yearly % loc growth
lighttpd,452,2,12.5,109,1.001182001,1.115392225
limesurvey,48828,9,210.5,302,1.007585432,1.439812412
linux,3202112,708,5001,43022,1.003778244,1.075938107
linux-ntfs,2650769,653,4445,12746,1.004679407,1.139582883
linux-pam,71,2,6.5,19,1.000197984,1.033327576
linuxmint,853,2,19,279,1.000999334,2.299416643
lisppaste,0,0,0,0,1,1.03032465
lithium,5238,9,408,1645,1.011435433,1.285115288
lives,1677,1,30,823,1.005955585,1.109957444
llvm,24121,47,806,6050,1.012359465,1.170600288
lm-sensors,44,1,8,19,1.001575587,1.039743385
log4j,0,0,0,0,1.000170897,1.027818097
logback,976,1,28,277,1.003965677,1.174323919
lua,0,0,0,0,1,1.002283648
lucene,11640,8.5,110,2765,1.010811396,1.140901573
lvm,1605,6,63.5,675,1.006328855,1.12045654
lwjgl,270,3,11,74,1.002687946,1.158462033
lxde,3496,5,54,932,1.003783107,1.099358196
lyx,3669,11.5,190.5,1295,1.003157117,1.058447501
m2eclipse,726,3,15,73,1.000758506,1.009519757
m4,7,1,3,0,1,1.038435867
macfuse,0,0,0,0,1,1.000193818
MacPorts,5096,15,124.5,1461,1.002807344,1.29562351
maemo,97,2,10.5,0,1.00018192,1
magento,8673,1,11,2050,1.000450113,1.145948558
magnolia,277811,12.5,780,240141,1.022793012,1.665640783
mailman,657,1,11.5,49,1.000488993,1.01677301
make,0,0,0,0,1.000074753,1.023992455
mako,44,1,2.5,15,1.001589218,1.095328885
mame,43034,20,335.5,9250,1.005364367,1.086468912
mandriva-linux,2516,12,186,204,1.001351038,1.040781505
mantis,1432,6,79.5,175,1.002229027,1.098071673
mapserver,5178,8,72.5,637,1.005562021,1.160911441
mason,1,1,1,0,1.000045851,1.017113977
matplotlib,4627,14,121.5,724,1.002885324,1.075556816
maven1,0,0,0,0,1,1
maven2,22528,17,359.5,7008,1.014464152,1.355268918
maven3,4618,7,100.5,1791,1.010626092,1.285149238
maxima,1289,7,41.5,361,1.001033381,1.065527288
MbUnit,11782,3,51,2420,1.00178402,1.189222261
mc,8229,5,141,354,1.000415113,1.007657551
mcrypt,0,0,0,0,1,1
mdadm,467,3,26.5,174,1.004510526,1.178581097
mediacoder,56,1,3,4,1,1.220878423
mediawiki,34822,35,1033.5,10725,1.019263187,1.380100734
meld,209,2,12,36,1.001153165,1.029378114
memcached,138,2,12,57,1.001387602,1.169616846
merb,72,2,6.5,0,1,0.97825224
mercurial,1961,25,144,477,1.011661071,1.284497137
mercurialeclipse,2020,3,41.5,364,1.009777961,1.327632696
mesa,72162,37.5,685,2356,1.005288604,1.065742688
metacity,18,2,3,3,1.000290607,1.012099336
metasploit,15503,11.5,246.5,6642,1.01247923,1.251939012
mingw,67,2,4,30,1.002541565,1.074623679
miranda,3347,7,98.5,479,1.001526673,1.096019463
Miro,5889,4,195,1386,1.009043029,1.194473055
mobbler,54,1,4,0,1,1.100017185
mockito,927,2,19.5,252,1.009369152,1.320531391
